exp	val_loss	steps	status	description
0	4.204961	163	keep	baseline
1	4.200939	91	keep	GRAD_ACCUM_STEPS: 1 -> 4; WARMUP_STEPS: 10 -> 20
2	3.528644	177	keep	GRAD_ACCUM_STEPS: 4 -> 2; LEARNING_RATE: 0.001 -> 0.002
3	3.439301	177	keep	WARMUP_STEPS: 20 -> 5
4	3.355161	342	keep	DROPOUT: 0.0 -> 0.15; GRAD_ACCUM_STEPS: 2 -> 1
5	3.677372	168	discard	BATCH_SIZE: 8 -> 16; DROPOUT: 0.15 -> 0.2
6	3.357900	346	discard	DROPOUT: 0.15 -> 0.2; WARMUP_STEPS: 5 -> 50
7	3.216480	347	keep	DROPOUT: 0.15 -> 0.0
8	4.059005	229	discard	N_EMBD: 192 -> 384
9	3.437927	177	discard	GRAD_ACCUM_STEPS: 1 -> 2
10	3.372779	289	discard	N_HEAD: 3 -> 8
11	4.819692	57	discard	GRAD_ACCUM_STEPS: 1 -> 4
12	3.698649	221	discard	DROPOUT: 0.0 -> 0.2
13	3.505821	394	discard	BATCH_SIZE: 8 -> 4
14	4.077416	190	discard	N_LAYER: 3 -> 4; N_HEAD: 3 -> 6
15	3.484103	303	discard	DROPOUT: 0.0 -> 0.2
16	3.295303	336	discard	DROPOUT: 0.0 -> 0.1
17	3.402145	335	discard	N_LAYER: 3 -> 4
18	4.084352	181	discard	N_EMBD: 192 -> 512; N_HEAD: 3 -> 4
19	3.309442	322	discard	N_HEAD: 3 -> 8
20	3.898447	180	discard	N_EMBD: 192 -> 512; LEARNING_RATE: 0.002 -> 0.0003; N_HEAD: 3 -> 4
